,image_urls,brands
0,https://m.media-amazon.com/images/I/71PBvVzcmKL._AC_UL320_.jpg,AMERICAN CREW
1,https://m.media-amazon.com/images/I/41gKvVPn8yL._AC_UL320_.jpg,AMERICAN CREW
2,https://m.media-amazon.com/images/I/41f3Vp370kL._AC_UL320_.jpg,AMERICAN CREW
3,https://m.media-amazon.com/images/I/41hofplKzJL._AC_UL320_.jpg,Edgy
4,https://m.media-amazon.com/images/I/91f9aIz-cWL._AC_UL320_.jpg,Allen Solly
5,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL320_.jpg,BULLMER
6,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL320_.jpg,AMERICAN CREW
7,https://m.media-amazon.com/images/I/81I1WcONIsL._AC_UL320_.jpg,Jockey
8,https://m.media-amazon.com/images/I/81kk5yhHaIL._AC_UL320_.jpg,Jockey
9,https://m.media-amazon.com/images/I/812SuLqJp5L._AC_UL320_.jpg,US Polo Association
10,https://m.media-amazon.com/images/I/71fvRVy3u7L._AC_UL320_.jpg,Levi's
11,https://m.media-amazon.com/images/I/81b8hTQwh2L._AC_UL320_.jpg,Jockey
12,https://m.media-amazon.com/images/I/812UgHxL2JL._AC_UL320_.jpg,AMERICAN CREW
13,https://m.media-amazon.com/images/I/814f8mvECdL._AC_UL320_.jpg,US Polo Association
14,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg,Van Heusen Athleisure
15,https://m.media-amazon.com/images/I/61PhOmqu6pL._AC_UL320_.jpg,Aventura Outfitters
16,https://m.media-amazon.com/images/I/71KVYfwW3+L._AC_UL320_.jpg,Van Heusen Athleisure
17,https://m.media-amazon.com/images/I/81SXlJODuAL._AC_UL320_.jpg,United Colors of Benetton
18,https://m.media-amazon.com/images/I/716+xAc54EL._AC_UL320_.jpg,BULLMER
19,https://m.media-amazon.com/images/I/71xXfDqiVaL._AC_UL320_.jpg,AMERICAN CREW
20,https://m.media-amazon.com/images/I/71Ls-SyqW9L._AC_UL320_.jpg,Reebok
21,https://m.media-amazon.com/images/I/91GP-wtypdL._AC_UL320_.jpg,Amazon Brand - Symbol
22,https://m.media-amazon.com/images/I/71BlJAme16L._AC_UL320_.jpg,Levi's
23,https://m.media-amazon.com/images/I/61cvnUGgVDL._AC_UL320_.jpg,AMERICAN CREW
24,https://m.media-amazon.com/images/I/61L58BvnnwL._AC_UL320_.jpg,AMERICAN CREW
25,https://m.media-amazon.com/images/I/81FXwyT6-iL._AC_UL320_.jpg,Puma
26,https://m.media-amazon.com/images/I/61trjq5idML._AC_UL320_.jpg,RV Creations
27,https://m.media-amazon.com/images/I/812aDHmZVIL._AC_UL320_.jpg,aarbee
28,https://m.media-amazon.com/images/I/91hRq93XbGL._AC_UL320_.jpg,Allen Solly
29,https://m.media-amazon.com/images/I/719Karp29fL._AC_UL320_.jpg,B&W
30,https://m.media-amazon.com/images/I/71xXfDqiVaL._AC_UL320_.jpg,AMERICAN CREW
31,https://m.media-amazon.com/images/I/51PDa1DRD4L._AC_UL320_.jpg,Vivid Bharti
32,https://m.media-amazon.com/images/I/71DUmecQDnL._AC_UL320_.jpg,Levi's
33,https://m.media-amazon.com/images/I/71ZtaTttcoL._AC_UL320_.jpg,THE ARCHER
34,https://m.media-amazon.com/images/I/7135qPOn3bL._AC_UL320_.jpg,Reebok
35,https://m.media-amazon.com/images/I/81HSai-rDML._AC_UL320_.jpg,RUF & TUF
36,https://m.media-amazon.com/images/I/81SPQBXu-UL._AC_UL320_.jpg,aarbee
37,https://m.media-amazon.com/images/I/81T7GFqh88L._AC_UL320_.jpg,United Colors of Benetton
38,https://m.media-amazon.com/images/I/71UF9OVtwUL._AC_UL320_.jpg,Adidas
39,https://m.media-amazon.com/images/I/716xe5ay3sL._AC_UL320_.jpg,Levi's
40,https://m.media-amazon.com/images/I/81nPhAThKJL._AC_UL320_.jpg,United Colors of Benetton
41,https://m.media-amazon.com/images/I/81TVw09cZ-L._AC_UL320_.jpg,United Colors of Benetton
42,https://m.media-amazon.com/images/I/81oxBkgS+OL._AC_UL320_.jpg,Adidas
43,https://m.media-amazon.com/images/I/61FlaGUHBiL._AC_UL320_.jpg,Aventura Outfitters
44,https://m.media-amazon.com/images/I/61sV4siujRL._AC_UL320_.jpg,PrintOctopus
45,https://m.media-amazon.com/images/I/614yKhb5vCL._AC_UL320_.jpg,PrintOctopus
46,https://m.media-amazon.com/images/I/711-wyjpNWL._AC_UL320_.jpg,Reebok
47,https://m.media-amazon.com/images/I/81ghKF9tLsL._AC_UL320_.jpg,United Colors of Benetton
