,Title,Text,Source
0,Watch Latest News Videos,"india

Check out the latest news videos from The Times of India covering wide range of topics - news videos, breaking news, politics news, big political debate, current affairs news, business news, world news, science news, education news etc. Watch videos of big news events as and when they happen and videos of other top stories from around the world only here. Stay updated with The Times of India news videos.",https://timesofindia.indiatimes.com/world
1,"Hindi TV News: Check Latest News on Hindi TV Shows, TV Celebrities & Hindi TV Serials",Vijayendra: Need to know what happened to Sushant,http://photogallery.indiatimes.com
2,Internet platforms can’t be allowed to monetise hate,"Netflix’s new documentary, ‘The Social Dilemma’, should be compulsory viewing for Indians. It helps explain the unprecedented spread of hate speech and communal falsehoods. It features executives and IT nerds from top internet companies — Facebook, Twitter, Instagram, Google, YouTube. They say they started by believing that the internet would be a great democratiser, providing voice and knowledge to millions lacking it. Alas, it is also producing terrible polarisation, lies and strife.

This is not because internet companies have bad people or evil intentions. The problem lies in their profit model. They offer great free services. Their profits come from advertising, often subliminal advertising. This means flashing messages for very brief periods below the normal human perception level, reaching the subconscious. Subliminal advertising has long been used by conventional advertisers too, highlighted in books like Vance Packard’s ‘The Hidden Persuaders’. But the smartphone has taken this psychological manipulation to new heights.

Free internet programmes aim to get the attention of as many viewers as possible for as long as possible. They take advantage of the high addictiveness of the net, especially for youngsters. The companies employ algorithms, complex software programmes, to track and analyse every move of viewers, getting to know more about their likes and tendencies than a psychiatrist. Using this psychological knowledge, the algorithms feed viewers with ads and messages that will hook their attention — not just to buy things but use news, videos and other devices that guide viewers into groups with similar likes and dislikes. The algorithms even feed different versions of the same news to different groups to satisfy their psychological needs, deepening polarisation.

Algorithms are driving people into warring camps

The companies seek to link viewers with other viewers as fast as possible to create networks of millions. Advertisers find that the algorithms can help them target the very people and groups most likely to buy their goods and services, at a very low cost per viewer. So, advertising has shifted hugely to the net, making billions for network owners.

Control over the data of viewers has given the companies unprecedented power to influence viewers and make money. Data, it is said, is the new oil. This has raised troubling questions about privacy and security. Many governments now seek to protect data generated in their borders for security reasons. Others are considering proposals to make the companies for the use of viewer data.

But more sinister is the way the networks harness the dark side of human nature to promote polarised groups with a contempt for rival groups that incites hate and violence. The net creates groups of individuals listening only to one another, brimming with dangerous passion.

Within each group, falsehoods and fake news about other groups spread with lightning speed and attempts to tell the truth are dismissed as conspiracies. The IT nerds say that falsehoods spread six times faster and wider than truths, Falsehoods titillate and get lots of viewers, while the truth is mundane and unexciting. The end result of this polarisation, say the nerds, could be violent clashes and even civil war.

The documentary is concerned mainly with the US, which has recently witnessed unprecedented polarisation, fake news and hate speech. This has been blamed on President Trump but should be blamed as much on the algorithms that drive evermore people into warring camps.

In India, the BJP is blamed for communal polarisation for electoral advantage. But that same polarisation is being driven quite independently by internet companies offering free services poisoned with hate. This fortifies the extreme fringes of both Hinduism and Islam, driving India towards Hindu-Muslim militancy.

Forget the pleas of Facebook or Google that they are mere platforms where people meet. They make their money by using algorithms as psychological tools to promote advertising to communities tailor-made for divisiveness. They did not intend the dark side of their business but will not change their strategy because massive profits flow out of it.

Recently Facebook and Twitter have been pressured by the public and advertisers to remove or label hate posts on their sites. I initially supported this move. But I now realise that this does nothing to stop the algorithms that create divisiveness and hate — and profits.

We need a high-powered technical committee full of nerds to find ways to check this. Government regulation is increasing for national security and privacy. But the prime need is regulation to stop the monetisation of hate by internet companies. This may require a new set of counter-algorithms. Pessimists say the genie is out of the bottle and cannot be put back. Nevertheless, we must try. The nerds who contributed to the problem need to contribute to the solution.",https://timesofindia.indiatimes.com
3,Rework Special Marriage Act for love and liberty’s sake,"Sometime in 2014, responding to all the rhetoric around ‘love jihad’, the actor Saif Ali Khan wrote: “Intermarriage is not jihad, intermarriage is India.”

It’s such a romantic idea, belied by reality. Inter-caste marriage still hovers at 5-6%. Marrying across faiths, or transgressing gotra rules still invites terrible violence in parts of this country.

The Special Marriage Act, a law of marriage “between any two persons”, liberates individuals from crushing collectivity. Anyone can marry anyone they choose. It smears the lines that divide us.

But in practice, the Act requires couples to jump through extra hoops to marry outside tradition and community. The Supreme Court is now hearing a plea that seeks to end the mandatory publicising of the couple’s private details for a month, for all to see and anyone to obstruct.

As the petitioners point out, this doesn’t square with the right to privacy. When I got married, a “notice of intended marriage” with our pictures, names, addresses and phone numbers was pinned to the office wall. A friend who visited the office sent me a picture of the peeling notice nearly a year after the event.

For many couples, though, this piece of paper can have devastating effects. One month is enough for families, community busybodies, faith and caste border forces to harass the couple. Public officials, cut from the same conservative cloth, often go along.

The Special Marriage Act was enacted in 1954, as a newly free nation tried to centre the individual, forge a common citizenship, and give women more substantive rights. Nehru and Ambedkar and others pushed this civil family law for those who wanted to step outside their community’s laws. It was resisted by conservative legislators even within the Congress. These strings were attached to the law in its difficult passage through Parliament.

The anxieties and yearnings around personal freedom are plain to see in the movies of the 1950s. And yet, romantic love was the core cinematic dream, as cultural scholar Aarti Wani details in her book Fantasy of Modernity. A modern India was imagined through the subversions and border-crossings of romance, the audacity of falling in love in a social context where most people did not have that option.

The Special Marriage Act embodies that ambivalence — its many conditions undercut its intention. Apart from the time requirement, the residence clause makes it hard for couples to evade unwelcome attention. The law must be redesigned with its original enabling purpose in mind. There could be higher penalties for who raise invalid objections, and disciplinary action against officials who side with social bullying. As a civil law, there is no reason to keep same-sex couples out of its ambit.

And yet, while hearing this petition, the court observed that without this notice period, parents wouldn’t know the whereabouts of their eloping offspring, and a husband wouldn’t know if his wife was marrying another man. This is a bewildering statement. After all, whatever the logic of the patriarchal family, when adult citizens decide to marry in our constitutional republic, parental opinion is beside the point. There are laws to address fraud and bigamy. If no notice is required for marriage under personal law, why should marrying under a secular law outside the canopy of community arouse this special suspicion?

In times when interfaith love is cast as ‘love jihad’, this stamping and hissing chorus is even more oppressive. A few years ago in Karnataka, Hindutva activists piled on to a local paediatrician whose daughter was marrying her Muslim boyfriend, until the young woman shut it down, saying: “It’s my wish”.

But “my wish”, meri marzi, coming from a woman is an earthshaking idea in our culture. In a society stacked by caste and religion, the control of marriage and mating is essential to keep each community sealed and intact. If women do what they want with their bodies and lives, what happens to purity, property, lineage?

Anyone who claims to care about a uniform civil code in good faith should be invested in a better Special Marriage Act. It’s the least we can do, for love and liberty.",https://timesofindia.indiatimes.com
4,"Five winners of the post-pandemic global economy, and a dark horse","Even as Covid-19 continues to bubble up in hot spots all over the world, many people are asking which economies are poised to rise, and which to fail. The first principle is to understand the global environment at any point in time, which now means understanding which rules will be most critical in the post-pandemic world.

The pandemic is accelerating a broad turn inward that began after the global financial crisis of 2008. Globalisation had already given way to de-globalisation, with cross border flows of goods and money in decline before the pandemic hit. Now, even the leaders of nations that were among the biggest beneficiaries of globalisation, including China and India, have begun to champion “self-reliance”— a goal that in recent decades had been pursued mainly by isolated outliers like North Korea.

Governments are also increasing their control over the economy, commanding shutdowns and effectively nationalising business payrolls in ways that would have been unimaginable six months ago. Public debt and budget deficits are exploding in many countries.

The last redoubt of globalisation is the virtual economy, which has accelerated under the lockdowns. As people retreat home to work, play, shop and study, new habits are forming, and these habits are going to help virtual enterprises to continue growing rapidly — from a much higher base — after the pandemic.

What this means for the post-pandemic world is that of my ‘10 Rules of Successful Nations’, those on geography and trade, state competence, debt and investment will have the greatest impact on national success.

The four key strengths: a strong domestic market (or unusual export prowess); a competent government, measured here by the indicators that matter most right now, cases and deaths per million from Covid-19; government debt and deficits; and digital sophistication, including heavy investment in research and development. Screening the major developed and emerging economies for these strengths yields a fascinating and rather surprising list.

Notable is the absence of the two economic superpowers. The US and China don’t make the cut, undermined by heavy debts and by doubts about how their governments handled the pandemic.

India too doesn’t make the cut of the major winners. It has long disappointed optimists and pessimists alike, and tends to rank middle of the emerging world pack on my ten rules. That hasn’t changed with the pandemic. India came in 13th out of 25 largest emerging countries in my post-pandemic screen, and ranked top ten in just one of the four key categories: India is relatively less vulnerable to the forces of deglobalisation, thanks to its vast domestic consumer market.

India’s score for government competence now ranks 13th in this category, with 55 deaths and more than 3,300 cases per million people. Its scores for government debt and deficits place India in the bottom half of the EM class, at number 19.

Finally, and more unexpectedly, India ranks only 16th in the emerging world for digital sophistication. It spends barely half a percentage point of GDP on research and development, and lands at number 14 in the World Digital Competitiveness Ranking put out by IMD, the Swiss business school.

Meanwhile, topping the list of potential post-pandemic winners are…

Germany: Leads no category but is near the top in all four. Its lockdowns lasted barely a month, thanks to a quick response so well coordinated between national and local governments. Germany under Angela Merkel, a trained scientist, makes the jousting between Washington and the states look even more embarrassing by contrast.

Germany was the rare country that went into the pandemic with relatively low levels of debt. It could afford the biggest domestic stimulus package of any major nation, and despite extending offers of stimulus to its fellow EU members, it will still come out with the lowest public debt, by far, of any major power. With Merkel leading the effort to create a European Recovery Fund, which could help bridge the continent’s north-south divide, her legacy may well be some sort of a European Renaissance.

Finland: Nokia may have gone the way of the dodo but its old nest is now home to Microsoft, and Finland keeps producing tech giants like Rovio, maker of ‘Angry Birds.’ A top ten tech power according to IMD. With a competent bureaucracy, little household debt and manageable public debt, Finland has no glaring vulnerability to the challenges of the post-pandemic period.

Switzerland: Perhaps Europe’s most streamlined, least centralised government, it has brought the Covid-19 death rate down to near zero, and created an economic relief agency that surprises small business by delivering support loans in a matter of hours.

Astonishingly competitive for such a small country, Switzerland has a smaller population than the Scandinavian countries, but has created twice as many top-100 European companies as the Scandinavian countries combined. The Swiss also generate among the most patents per person in the world and invest heavily in R&D, which is why Switzerland is a top five global tech power as well. (Its one weakness: household mortgage debt.)

Vietnam: Vietnam is realising its potential as “the next China”, a major export power. With an efficient post-communist government, Vietnam has had stunning success containing the pandemic, with only 34 deaths to date. As the rest of the world turns against immigration and trade, Vietnam continues to open up, signing 15 free trade agreements in the last decade. One of precious few nations that was attracting investment in its export factories at an accelerating pace, it is rapidly moving up the manufacturing ladder, from stitching together sneakers to making smartphones and AirPods. The domestic economy is leapfrogging the landline age straight into the mobile internet age. Outside a few small outliers, Vietnam is on track to finish 2020 as the world’s fastest growing economy.

Taiwan: Along with South Korea, Taiwan is one of the two nations able to grow at a rapid pace for five decades in a row. Both rank among the top EM countries on all four post-pandemic factors. Taiwan gets the spotlight by a narrow margin. Like South Korea, it invests heavily in tech and is already one of the world’s most digitised countries. But Taiwan has a slightly lower government deficit and debt, and has capped its Covid-19 death rate at 0.3 per million — lowest among major emerging and developed economies. The Achilles Heel for both is a relatively small and debt-soaked consumer economy, but Taiwan’s consumer market is slightly larger (as a share of GDP) and less debt-ridden.

Russia: A dark horse, Russia does not in fact score in the top five on any single post-pandemic factor. It makes the list largely because it has turned itself into a financial fortress mostly impervious to global markets. In 2014, the debilitating impact of international sanction for the invasion of Ukraine, coupled with a drop in oil prices, persuaded Vladimir Putin’s government to focus on paying down foreign debts and saving oil profits to seal itself from foreign pressure. Russian finances are now so solid, the ruble — unlike other petro currencies — no longer whipsaws with the price of oil. Serendipitously, this insulation from global markets could prove even more valuable at a time when more than half the countries in the world have gone to the IMF for financial help to survive the pandemic.

Thanks in part to the legacy of Soviet science and applied technology, Russia also has a reasonably advanced digital economy, one of the few to produce domestic internet companies that have the potential to withstand challenges from the American and Chinese giants.

It is telling of the coming era that a case can be made to include countries as different as Russia and Germany on this list. To thrive, economies will need a strong defense against the pressures of deglobalisation, debt, and meddling governments, coupled with an offense capable of exploiting the opportunities in the booming digital economy. Though to very different degrees all these nations, so often on opposite sides of history, share this mix of strengths for the future. They have a good shot at thriving in a difficult post-pandemic world.",https://timesofindia.indiatimes.com
5,Exception becomes the norm as special laws are misused,"Delhi Police’s framing and subsequent reframing of charges, using UAPA (Unlawful Activities Prevention Act), against the young women of Pinjra Tod a few months ago is an example of the gross misuse of special laws enacted by the state for circumstances which lie outside the purview of ordinary laws. By definition such laws are meant to be temporary and exceptions but end up being permanent and the norm.

Over the years we have accumulated a plethora of such extraordinary laws, at both the central and state levels. Such is the fascination with these ‘extraordinary’ laws that even the judiciary no longer questions their misuse.

As has been the case so often in this country’s history, it was the Congress which set this ugly ball in motion. In 1971, Indira Gandhi passed MISA (Maintenance of Internal Security Act). It later proved to be very useful in putting two strange bedfellows, the communists and the Jan Sangh behind bars during the emergency. The end of the emergency saw MISA being repealed by the Janata Party of which the Jan Sangh was a part. Interestingly, the short stint that well placed Indian politicians spent in jail between 1975-77 made them suddenly aware of the fact that hundreds of thousands of ‘undertrials’ had been in prison for periods which were sometimes much more than the maximum sentence their crimes would have attracted. The Supreme Court also woke up to the plight of ‘undertrials’ and a clean-up of the system started.

But it was too good to last, and the politician’s impatience with the judicial system it had itself created led to the Jan Sangh’s successor, the BJP, taking up laws intended primarily to bypass judicial scrutiny. With a willing partner in the Congress and other equally authoritarian state-level political parties, the Indian system has seen a slew of Acts passed over the past forty years, all of them much more repressive than MISA.

It would take too much space to list all these in detail here. Their acronyms are enough — so deeply engrained are these in the psyche of the common person: POTA, TADA, ESMA, COFEPOSA, PSA, NSA, AFSPA, UAPA or their state level counterparts like MCOCA, GUJCOCA and KCOCA. Some have been repealed, only to be substituted by more repressive ones — compromising individual liberty. More than a year on, citizens of the country in J&K continue to be denied elementary rights. Those arrested for the Bhima-Koregaon/Elgaar Parishad case have not even got bail even as the prosecution is in no hurry to file the case a year and a half later. The idea is to intimidate and paralyse those who would question state policy. UAPA, for instance, was supposed to be a ‘preventive’ law intended to pre-empt certain ‘unlawful’ activities. It is not as if the criminal code did not contain preventive detention. But these were bailable and the burden was on the state to prove guilt or suspected intent. Under UAPA all that is overturned.

Under UAPA and NSA (National Security Act), bail can be denied almost indefinitely. In many cases, the state is not even under any obligation to present a credible case to the court nor frame charges in a time bound manner. Thus, both UAPA and NSA become easy tools with which anyone can be arrested and denied bail for indefinite periods. Laws and courts the world over have insisted on procedure — which remains the only protection an individual has from the overwhelming might of the state. But with this litany of laws which are slowly getting entrenched in the system, the relationship between crime and punishment is getting obliterated.

A year ago, a forest rights activist told me that corrupt forest departments threatened by exposure of their corruption had found a simple system of keeping activists away — just file charges against them and the adivasis in various courts all over the state. It would be a matter of time before the complex web of absentee lawyers, delayed proceedings, incessant adjournments exhausted even the most dedicated activist and lead to unfettered control by the very same corrupt forest mafias.

What is sauce for the goose must be sauce for the gander because the counterparts of the forest officials have found laws by which they can lock up all those who would oppose state policies under obscure laws which serve not the Constitution judges are sworn to protect but those who would rule by exception.",https://timesofindia.indiatimes.com
6,"How to bring back hope: Fair, stable and socially moderate policies are a prerequisite for economic revival","Strong leaders bristle at criticism. Therefore it was a nice surprise when Prime Minister Narendra Modi, at an inaugural public function of Rajasthan Patrika Gate recently, observed that criticism in the era of social media is natural and can strengthen democracy. I’m taking him at his word and sharing some thoughts on the ailing economy, and what steps he may need to take to create an ecosystem for reviving it.

Earlier in January this year, Modi met some business leaders in New Delhi – the usual lot who also used to meet the UPA leaders. The exercise was intended to get feedback from the tycoons on the state of the economy, already in the doldrums then, before Covid plunged it to abysmal depths. Our business leaders – who sing paeans even when a lacklustre Budget is presented – spoke of the usual things: credit squeeze, stimulating demand, tax terrorism, simplifying GST, monetary policies, fiscal deficits and so forth.

What wasn’t said in the various PM’s meetings was more important than what was conveyed – the need for Modi to focus on fixing the trust deficit between government and sections of India’s civil society. He should have been told that the present rightwing politics which is continually stirring the communal pot, isn’t enabling the ecosystem of social harmony to prevail.

This isn’t to give a clean chit to rabid groups on the left, but to point out that the Union government must act firmly, swiftly and justly against zealots and fanatics acting illegally on both sides of the social and political divide, and to bridge the chasm between pro-government cheerleaders and anti-government protesters, where current politics invariably overrides rule of law.

India Inc, in its frequent interactions with the PM, should drive home the simple fact that peace and stability are a prerequisite to getting the economy back on track, and that needs to be in place before administering any medicines for the country’s economic ills.

The economy can’t be fixed by enabling the rise of stocks of a few companies that take average indices to a high. We can’t achieve meaningful development worth its name if there’s perennial social strife. India Inc must stop behaving like ostriches, restricting itself to seek policy benefits. During the years of racist conflict in America, Emerson said “trade is a plant which always grows wherever there’s peace, as soon as there’s peace, and as long as there’s peace.”

Businesses in general (and even businesses of crony capitalists) can’t prosper in isolation over the long term if there’s widespread and prolonged inequity and constant friction and conflict in society – conflicts of class, caste and religion, resulting in the collapse of the rest of the economy. When a ship sinks all aboard perish.

Now for some candid admissions and stark truths. Our big business tycoons are a bigger threat to the growth of a liberal economy than politicians, because they want to do away with competition, harking back to our ‘licence raj’ days of Ambassador cars. Once they reach the top they forget it was reforms that catapulted them to those dizzy heights.

Individual business houses lobbying in the shadows to secure special dispensations and garner unfair competitive advantage over others, including multinationals, are at cross purposes with Modi’s grand vision of ‘Make In India’ and in conflict with his ambitious plans of attracting FDI and moving up the ladder of ease of doing business.

Investors come to India captivated by the India growth story, and after being wooed by the PM and state leaders when they meet them during their overseas trips. After they invest, if they discover that policies are changed at will to suit local business tycoons and rules are interpreted by clever bureaucrats who lay booby traps and make it difficult for them to grow, then future foreign investments will dry up. It will also shake the confidence of local industry.

Amazon and Walmart are already crying foul. In effect, foreign companies feel that doing business in India depends on who you know. It’s a snakes and ladders game. When governments renege on their promises and promote some business houses over others, the economy will be adversely affected and entrepreneurial spirit will evaporate. There will also be retaliation on our exports and on businessmen who invest abroad.

It’s not easy to steer the economy of a large complex country where multiple contrasting Indias – islands of prosperity in a vast sea of poverty and ignorance – coexist. When the country is faced with threats on three fronts – a plummeting economy, the Covid virus, and a belligerent China on our borders – the PM must surround himself with the best minds from around the world. And there’s no dearth of them. Hence his eagerness to engage with critics has to be lauded.

By virtue of the mandate he commands, both in the country and within his party, it behoves Modi – as the leader of the largest democracy that aspires to be among the prosperous nations of the world – to reach out and unite a currently polarised nation. He must bring back hope. Hope that things will mend no matter how tough the times are now, hope that the future holds promise. Hope, the invisible fuel of an economy, seems absent now.

Because, no matter how noble or correct the intentions, no shop can do good business in a bad neighbourhood.",https://timesofindia.indiatimes.com
7,"Reform friction: Centre mustn’t buckle, small farmers matter","The Modi government mustn’t waver on the farm reform legislations despite protests in Punjab and Haryana, which prompted Akali Dal’s exit from the ministry. The two bills relating to creating a viable alternative to agricultural market produce committees (APMCs) and facilitating contract farming can help small farmers discover fair prices for farm produce and bring better services to the farmgate. APMCs haven’t lived up to their promise due to cartelisation and the difficulty of small farmers in transporting their produce to APMC marketyards.

The criticism of federal overreach needs to factor in the big picture. States are unable to usher in such reforms as they are often hostage to big farmer and middlemen lobbies. By striking compromises on GST compensation, Centre could have offset the complaints of states of revenue loss for sales outside APMCs. PM Modi has made a weighty promise to farmers, 86% of whom are small and marginal farmers, to double their incomes by 2022. The status quo, including minimum support prices, isn’t helping enough farmers unlike direct benefit transfers, besides distorting markets and cropping patterns too.

Centre has clarified that it isn’t undermining APMCs or MSPs but merely increasing competition by allowing agribusinesses, food processors, wholesalers, exporters and big retailers to source directly from farmers. Opposition parties are joining the protests for political mileage, but government must improve its messaging on the salience of these reforms. Besides politicisation, the other weakness is the variance between policy and practice. Despite amending the Essential Commodities Act to remove stockholding limits and intemperate regulations on most commonly consumed commodities, Centre has again banned onion exports. Such moves run counter to the professed desire to find new export markets and hinder farmers from securing the benefit of even small increases in wholesale prices.",https://timesofindia.indiatimes.com
8,She’s got the look: Naomi Osaka and Lady Gaga go mask to mask,"The masks had a message, when en route to winning the US Open Naomi Osaka, ranked the highest paid female athlete on the planet, wore seven of those with the names of seven black people who have been victims of violence. Seven matches, seven masks, seven names. She felt the point was to make people start talking. And they certainly did that, all over the world.

The masks themselves were the message, when Lady Gaga donned a wacky variety of them at the MTV Video Music Awards, including a galactic pink mask with ventilation and something resembling a fishbowl. Seven appearances, seven masks. She did for masks what designers like Dior and Chanel have been doing for fashion forever. She told audiences world over, wear a mask, it’s a sign of respect.

By now it’s well established that wearing a mask reduces risk of Covid both for you and those around you (so long as the mask fits properly). It rebuilds economies. So what explains the research suggesting that men are less likely to wear face masks than women? Is this because men have a lesser sense of responsibility or a greater sense of invulnerability? More useful than sweeping generalisations would be different social agents pulling together to push behaviourial change. To convince a larger population that, as Sunny Leone annotated a social media selfie with a mask, “Safe is the new COOL.”",https://timesofindia.indiatimes.com
9,IPL reboots today. It could provide just the psychological boost we need in these desperate Covid times,"We in India love our numbers. In the last six months, these have mostly been about Covid cases and recoveries and infection rates and tests. Each one of us has suffered from a sense of anxiety and helplessness, and incessant coverage of the rising numbers hasn’t helped. We desperately needed a release.

That’s why the IPL is so important. It’s a pan-Indian festival, so uniquely our own that each one of us associates with it in some form. No one needs to tell us to watch the IPL. We will do so voluntarily. No one will need to tell us to stay indoors, as we consume the spectacle that is starting to unfold in the UAE every evening, for the next two months.

It’s an unwritten stay at home order of sorts that will ease the pressure on the political class as India settles into a routine it was craving for so badly. Some are worried about the lack of fans in the stands. Frankly, it won’t matter. Fans are waiting to consume the action on television and digital, and each ball bowled and run scored will be watched by millions across the country.

It might well be that IPL 2020 is the most watched sports event ever with India finally getting to do something it loves. It’s a kind of getting our lives back moment for many, lives that we had all lost to Covid. The virus, make no mistake, is still around and will be for some time to come. But it also means that not everything is lost to it and humanity is starting to come to terms with Covid, working out ways where things can go on while keeping the virus at bay.

Moreover, we will not have to consume political venom on primetime news television, and for once the numbers will be about runs scored and wickets taken and asking rates and sixes hit. A new normal that is welcome rather than scary.

Cricket and more generally sport will emerge richer and stronger out of the IPL. For a while there was a sense of complacency in live sport production and fans, integral to the health of the industry, were taken for granted. Covid has changed it all and in doing so has offered the stakeholders a huge opportunity in revolutionising sport going forward. Covid is disruptive and as a result provocative. It has pushed us out of our comfort zones and forced us to rethink existing ways of producing and consuming sport.

To make up for empty stands, every household or couch can now be converted into a mini stadium. While watching the broadcast, fans can be empowered to send in their feedback real time using technology and such images, provided by the fans themselves can be broadcast within seconds – making cricket more all encompassing than before. And in a post-Covid world when things return to near normal with a vaccine, sport would have gained a toehold in newer markets, making it a bigger industry than it ever was.

Finally, if the IPL doesn’t happen the sport economy in India is certain to contract by at least 30%. To illustrate the point better, in pre-Covid times newspapers had three pages dedicated to sport. There were regular shows on national television and the digital realm was full of sports stories. Since the pandemic started many newspapers had all but done away with the sports page. While some like TOI kept it going, the space allocated to sport was drastically reduced.

It was natural because there was no live sport. Each one of us who are part of the fraternity felt pangs of anxiety. That’s where IPL assumes centerstage. IPL was never about Virat Kohli and MS Dhoni. As Sunil Gavaskar rightly said, “It’s also about the bigger picture. The broadcaster, media, groundsmen, technical staff and everyone associated who draw their sustenance from it.” That’s why we need it.

The start of the tournament means sport in India is relevant. And to note that in an ambience of economic gloom BCCI has managed to rake in Rs 350 crore from sponsorship speaks volumes of the robustness of the IPL brand and its relevance for the Indian market. There’s a silver lining at the end of this tunnel. There always is.",https://timesofindia.indiatimes.com
