,image_urls,brands
0,https://m.media-amazon.com/images/I/916bHFDRGfL._AC_UL320_.jpg,Amazon Brand - House & Shields
1,https://m.media-amazon.com/images/I/71EDqxL0m0L._AC_UL320_.jpg,Generic
2,https://m.media-amazon.com/images/I/91rM1qooq2L._AC_UL320_.jpg,Amazon Brand - House & Shields
3,https://m.media-amazon.com/images/I/91NxfBF9uLL._AC_UL320_.jpg,Amazon Brand - House & Shields
4,https://m.media-amazon.com/images/I/81H0ki1TX2L._AC_UL320_.jpg,Amazon Brand - Inkast Denim Co.
5,https://m.media-amazon.com/images/I/61tVLb2OfrL._AC_UL320_.jpg,Tryme Fashion
6,https://m.media-amazon.com/images/I/410FdyEd4ZL._AC_UL320_.jpg,Campus Sutra
7,https://m.media-amazon.com/images/I/61gmjNpvLsL._AC_UL320_.jpg,IndoPrimo
8,https://m.media-amazon.com/images/I/6131GX+aQ0L._AC_UL320_.jpg,Maniac
9,https://m.media-amazon.com/images/I/81lSZ16V4CL._AC_UL320_.jpg,Parx
10,https://m.media-amazon.com/images/I/61H+fjt+I9L._AC_UL320_.jpg,IndoPrimo
11,https://m.media-amazon.com/images/I/61YmcllOVtL._AC_UL320_.jpg,FINIVO FASHION
12,https://m.media-amazon.com/images/I/61iiLrIpgDL._AC_UL320_.jpg,IndoPrimo
13,https://m.media-amazon.com/images/I/81TqJ7o4DgL._AC_UL320_.jpg,Levi's
14,https://m.media-amazon.com/images/I/71m-QjmKHQL._AC_UL320_.jpg,Dennis Lingo
15,https://m.media-amazon.com/images/I/91VpjyPP4ZL._AC_UL320_.jpg,Peter England
16,https://m.media-amazon.com/images/I/81y-1CRZKcL._AC_UL320_.jpg,US Polo Association
17,https://m.media-amazon.com/images/I/61Uf5DMacIL._AC_UL320_.jpg,Parx
18,https://m.media-amazon.com/images/I/61+MPGZg6sL._AC_UL320_.jpg,Red Tape
19,https://m.media-amazon.com/images/I/81taXfT1UiL._AC_UL320_.jpg,Levi's
20,https://m.media-amazon.com/images/I/6164Vtd3qNL._AC_UL320_.jpg,Mufti
21,https://m.media-amazon.com/images/I/71FFzi0i65L._AC_UL320_.jpg,Levi's
22,https://m.media-amazon.com/images/I/91eWLFjLbVL._AC_UL320_.jpg,True United
23,https://m.media-amazon.com/images/I/81OJRal2a3L._AC_UL320_.jpg,LEVIZO
24,https://m.media-amazon.com/images/I/81eY9jsCzQL._AC_UL320_.jpg,Levi's
25,https://m.media-amazon.com/images/I/71Bo9OtlEtL._AC_UL320_.jpg,Dennis Lingo
26,https://m.media-amazon.com/images/I/91lfSBmLH5L._AC_UL320_.jpg,Levi's
27,https://m.media-amazon.com/images/I/71r+NzhnmkL._AC_UL320_.jpg,United Colors of Benetton
