,image_urls,brands
0,https://m.media-amazon.com/images/I/51h5IHrJPKL._AC_UL320_.jpg,Generic
1,https://m.media-amazon.com/images/I/610TUmcWXeL._AC_UL320_.jpg,Z K ENTERPRISE
2,https://m.media-amazon.com/images/I/61leRYfPvrL._AC_UL320_.jpg,Tilki
3,https://m.media-amazon.com/images/I/81EVip9MSUL._AC_UL320_.jpg,Avisha
4,https://m.media-amazon.com/images/I/71gS9nADNeL._AC_UL320_.jpg,ANNI DESIGNER
5,https://m.media-amazon.com/images/I/6145npqbg4L._AC_UL320_.jpg,ANNI DESIGNER
6,https://m.media-amazon.com/images/I/81Pks4Q52wL._AC_UL320_.jpg,ANNI DESIGNER
7,https://m.media-amazon.com/images/I/81wCS9fycmL._AC_UL320_.jpg,Market Magic World
8,https://m.media-amazon.com/images/I/91Pc9HRArSL._AC_UL320_.jpg,TAMAIRA FASHION
9,https://m.media-amazon.com/images/I/910KJPiGcYL._AC_UL320_.jpg,ANNI DESIGNER
10,https://m.media-amazon.com/images/I/91Nfpvp1yhL._AC_UL320_.jpg,ANNI DESIGNER
11,https://m.media-amazon.com/images/I/71bqVV8r0gL._AC_UL320_.jpg,RAJESHWAR FASHION WITH RF
12,https://m.media-amazon.com/images/I/71p0MOTaZ3L._AC_UL320_.jpg,GoSriKi
13,https://m.media-amazon.com/images/I/816YftU+FsL._AC_UL320_.jpg,Vaamsi
14,https://m.media-amazon.com/images/I/71RTKgQ2SmL._AC_UL320_.jpg,Vaamsi
15,https://m.media-amazon.com/images/I/81Ac5LasV-L._AC_UL320_.jpg,OOMPH!
16,https://m.media-amazon.com/images/I/71TPLQLP0qL._AC_UL320_.jpg,D.C.
17,https://m.media-amazon.com/images/I/61EvPLNdVBL._AC_UL320_.jpg,GoSriKi
18,https://m.media-amazon.com/images/I/81JE98ug38L._AC_UL320_.jpg,Anand Sarees
19,https://m.media-amazon.com/images/I/41iEMjUUDbL._AC_UL320_.jpg,GoSriKi
20,https://m.media-amazon.com/images/I/81wXNHiQEIL._AC_UL320_.jpg,PERFECTBLUE
21,https://m.media-amazon.com/images/I/61qdKQMwmFL._AC_UL320_.jpg,Vaamsi
22,https://m.media-amazon.com/images/I/916PwQG4MmL._AC_UL320_.jpg,Winza Designer
23,https://m.media-amazon.com/images/I/91HnNBREpPL._AC_UL320_.jpg,Yashika
24,https://m.media-amazon.com/images/I/81dkSgs7nsL._AC_UL320_.jpg,DHRUVI TRENDZ
25,https://m.media-amazon.com/images/I/715NYXDhD-L._AC_UL320_.jpg,PERFECTBLUE
26,https://m.media-amazon.com/images/I/91YhxRLNTuL._AC_UL320_.jpg,Anand Sarees
27,https://m.media-amazon.com/images/I/81qi7QCNSjL._AC_UL320_.jpg,Winza Designer
28,https://m.media-amazon.com/images/I/91zPQrn3oqL._AC_UL320_.jpg,Avisha
29,https://m.media-amazon.com/images/I/81ma-c084VL._AC_UL320_.jpg,Avisha
30,https://m.media-amazon.com/images/I/91oRZlTpyvL._AC_UL320_.jpg,Avisha
31,https://m.media-amazon.com/images/I/91gaklZa0RL._AC_UL320_.jpg,UrbanBunai
32,https://m.media-amazon.com/images/I/91UI8rE3XML._AC_UL320_.jpg,PERFECTBLUE
33,https://m.media-amazon.com/images/I/81O-J6qiXvL._AC_UL320_.jpg,Esomic
34,https://m.media-amazon.com/images/I/81-uuEDvnQL._AC_UL320_.jpg,ANNI DESIGNER
35,https://m.media-amazon.com/images/I/61lIqW3EzmL._AC_UL320_.jpg,PERFECTBLUE
36,https://m.media-amazon.com/images/I/71TQPd1gaiL._AC_UL320_.jpg,RAJESHWAR FASHION WITH RF
37,https://m.media-amazon.com/images/I/91rG+JG4nvL._AC_UL320_.jpg,TAMAIRA FASHION
38,https://m.media-amazon.com/images/I/91YFGHzjm4L._AC_UL320_.jpg,ANNI DESIGNER
39,https://m.media-amazon.com/images/I/91yPghSgR8L._AC_UL320_.jpg,ANNI DESIGNER
40,https://m.media-amazon.com/images/I/61GunThFTVL._AC_UL320_.jpg,RAJESHWAR FASHION WITH RF
41,https://m.media-amazon.com/images/I/81VS9g8uwUL._AC_UL320_.jpg,ANNI DESIGNER
42,https://m.media-amazon.com/images/I/61xiCTgjAnL._AC_UL320_.jpg,Vaamsi
